z,kinematic_sin,linear_theta,linear_uz,fem_mean_utheta_over_r,fem_theta_fit,fem_mean_uz,fem_mean_J
1.9936708860759493,0.49856434642774738,0.52194181744767132,0.99683544303797467,0.45370092250421995,0.52447214460491676,0.99970560735565484,1.2362290652739565
2.0316455696202533,0.50715759783875014,0.53188356635143652,1.0158227848101267,0.46143046165148732,0.53435512231063964,1.018433534949384,1.2362288583407397
2.0696202531645573,0.5157007230316758,0.54182531525520172,1.0348101265822787,0.46911381611517006,0.54423801589315479,1.0371614640880136,1.2362328310590163
2.1075949367088609,0.52419287762489941,0.55176706415896681,1.0537974683544304,0.47675729292796004,0.55412090572034078,1.055889393800256,1.2362357282274155
2.1455696202531644,0.53263322227460597,0.56170881306273202,1.0727848101265822,0.4843457760278036,0.56400380355045365,1.0746173215119623,1.2362388051250079
2.1835443037974684,0.54102092275774849,0.57165056196649722,1.0917721518987342,0.4918930090517028,0.57388657544166843,1.0933452424132248,1.2362418820226007
2.2215189873417724,0.54935515005450075,0.58159231087026242,1.1107594936708862,0.49939401387800614,0.58376914266397362,1.1120731446473526,1.2362569242477803
2.259493670886076,0.55763508043019572,0.59153405977402751,1.129746835443038,0.50685497664183232,0.5936515033947225,1.1308010181240811,1.2362824181038059
2.2974683544303796,0.56585989551674154,0.6014758086777926,1.1487341772151898,0.51426180712227143,0.60353353637977947,1.1495288114650284,1.2363042153111781
2.3354430379746836,0.57402878239350674,0.6114175575815578,1.1677215189873418,0.52163160658093843,0.61341491731213926,1.1682564851928412,1.23632601251855
2.3734177215189876,0.5821409336676675,0.621359306485323,1.1867088607594938,0.52896474950583361,0.62329531524615744,1.186983930805187,1.236407932068655
2.4113924050632911,0.59019554755400838,0.63130105538908821,1.2056962025316456,0.53869502583640794,0.63646680053155913,1.2119532294042008,1.2365507775035571
2.4493670886075951,0.59819182795416881,0.64124280429285341,1.2246835443037976,0.54597218040167883,0.64634245116963907,1.2306795090462768,1.2368004531892329
2.4873417721518987,0.60612898453532738,0.6511845531966185,1.2436708860759493,0.55324946941401409,0.65621415015656603,1.2494042705556943,1.2370127209791835
2.5253164556962027,0.6140062328083169,0.6611263021003837,1.2626582278481013,0.56055748283803253,0.66607974404626835,1.2681270458475036,1.2372249887691342
2.5632911392405067,0.6218227942051604,0.6710680510041489,1.2816455696202533,0.56793377834367187,0.67593634778829781,1.2868465445400459,1.2379489061452202
2.6012658227848102,0.62957789615602422,0.6810097999079141,1.3006329113924051,0.57540589952662613,0.68577921988015955,1.3055619025308698,1.2391545748425099
2.6392405063291138,0.63727077216557537,0.69095154881167919,1.3196202531645569,0.58313501656017619,0.6956023562825423,1.3242668882035733,1.2401259773688091
2.6772151898734178,0.64490066188874184,0.7008932977154444,1.3386075949367089,0.59118009883068146,0.70539660491547784,1.3429589094194772,1.2410973798951084
2.7151898734177218,0.65246681120586147,0.7108350466192096,1.3575949367088609,0.59968407437125715,0.71514947068235057,1.3616310703467882,1.2441972873723601
2.7531645569620253,0.65996847229721867,0.7207767955229748,1.3765822784810127,0.60873779039789477,0.72484177741554601,1.3802785448785506,1.2489918478983697
2.7911392405063289,0.66740490371695615,0.73071854442673978,1.3955696202531644,0.61903657253345612,0.73445184542141806,1.3988644343288517,1.252505609476867
2.8291139240506329,0.67477537046635849,0.74066029333050498,1.4145569620253164,0.63061628721269514,0.74394870014263026,1.4173800781321744,1.2560193710553642
2.8670886075949369,0.68207914406649672,0.75060204223427018,1.4335443037974684,0.64377680870071252,0.75329209841880385,1.4357974800695281,1.2664695825321668
2.9050632911392409,0.68931550263023011,0.76054379113803539,1.4525316455696204,0.65870281003972908,0.76243073744537526,1.4540946249236051,1.2858199762579352
2.9430379746835444,0.69648373093355509,0.77048554004180059,1.4715189873417722,0.67660182795498403,0.77131525038704485,1.4720670166790859,1.3212011963225305
2.981012658227848,0.70358312048629701,0.78042728894556568,1.490506329113924,0.69483841190674311,0.77988254932952483,1.4890260921981329,1.3565824163871258
